Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean,Ed_variance,Ed_not_zero_mean,Ed_not_zero_variance,Ed_region_mean,Ed_region_rc_mean,Ed_region_variance,Ed_region_max,Ed_region_min,Ed_region_top_50,Ed_region_top_25,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
A549,4,OSI,9,4,11.75,4,0.13860908150672913,0.01266845315694809,0.19899101555347443,0.0061717163771390915,0.12097245454788208,0.648114025592804,0.0008351051947101951,0.2027396857738495,0,0.14367054402828217,0.1587972790002823,0.4302304983139038,0.80566347,0.80173135,400,37792,38192,0.1831723,0.39362233877182007,0.19506142,0.9928818345069885,0.89108926,1.1255512,5.0096917,0,0.9878893,0.648114025592804,0.9639102816581726,0,0.011062727309763432,1.1306044,5.0096917,0,0.99579006
A549,4,OSI,9,4,11.75,5,0.10260766744613647,0.0008563254959881306,0.1026734709739685,0.0008501183474436402,0.07968388497829437,1.3140839338302612,0.0005623442120850086,0.14261683821678162,0,0.09832652658224106,0.10876651108264923,0.8257623314857483,1.0841686,1.0795316,700,38308,39008,0.87499434,0.17872053384780884,0.3931696,0.9942837953567505,0.98320097,1.895997,5.1681523,0.9339632,0.27544987,1.3140839338302612,1.923953652381897,0.9339631795883179,0.028768667951226234,1.9066302,5.1681523,1.0237451,0.27365673
A549,4,OSI,9,4,11.75,6,0.131564199924469,0.0006922945030964911,0.131564199924469,0.0006922945030964911,0.09225285053253174,1.2993024587631226,0.0003437018604017794,0.14444243907928467,0.04184505343437195,0.10674107074737549,0.11688503623008728,0.9205330610275269,1.5054605,1.4946446,500,26540,27040,0.8340051,0.6609184741973877,0.161908,0.9955534338951111,0.9704971,2.1873467,4.3106008,0.97627544,0.33281875,1.2993024587631226,1.7745989561080933,1.0191643238067627,0.01990376226603985,2.2040772,4.3106008,0.97627544,0.3235768
A549,4,OSI,9,4,11.75,7,0.1682555228471756,0.0019480171613395214,0.16904841363430023,0.001823156955651939,0.09816253930330276,0.8187664151191711,0.0007182771223597229,0.19022423028945923,0.020512253046035767,0.11964015662670135,0.1325593888759613,0.5333617925643921,0.81652343,0.80988264,600,24984,25584,0.85358244,0.6287789344787598,0.5349342,0.992943286895752,0.9840405,1.5155523,3.1843293,0,0.15116,0.8187664151191711,1.3079832792282104,0.5649757981300354,0.01545613631606102,1.5322859,3.1843293,0,0.14247924
A549,4,OSI,9,4,11.75,8,0.0708388090133667,0.004927414003759623,0.13125087320804596,0.001200427650474012,,,,,,,,,0.6705703,0.6705703,0,26208,26208,0.7193589,,0.8985379,,0.90610546,0.78931755,3.544538,0,0.6853104,,,,,0.78931755,3.544538,0,0.6853104
A549,4,OSI,9,4,11.75,9,0.11392166465520859,0.008131264708936214,0.17223897576332092,0.0022492038551717997,0.1258736252784729,0.7541841864585876,0.0021282562520354986,0.26036742329597473,0,0.1601179540157318,0.179780974984169,0.4718705117702484,0.6334064,0.62933546,600,23208,23808,0.5644543,0.17843517661094666,0.14817096,0.9947229027748108,0.98426735,0.73722553,2.3454287,0,0.32318693,0.7541841864585876,1.234900712966919,0,0.041580259799957275,0.736787,2.3454287,0,0.33045974
A549,4,OSI,9,4,11.75,10,0.08043718338012695,0.010689818300306797,0.20294375717639923,0.002108566230162978,0.17548786103725433,1.4115148782730103,0.0028090057894587517,0.2953256070613861,0,0.21352113783359528,0.23471151292324066,0.7028195858001709,0.8172591,0.8149236,800,38400,39200,0.43198094,0.47451508045196533,0.45754743,0.9880046248435974,0.9810781,0.7046085,3.6636567,0,0.84357274,1.4115148782730103,2.4870636463165283,0,0.1561899334192276,0.6898814,3.6636567,0,0.8472656
A549,4,OSI,9,4,11.75,11,0.06404957920312881,0.007520622573792934,0.16548122465610504,0.0026455663610249758,0.11426231265068054,1.4308339357376099,0.0010452381102368236,0.2086445838212967,0.04229192063212395,0.13964052498340607,0.1573067605495453,0.7676359415054321,0.979398,0.97861755,100,27036,27136,0.96650076,-0.022410039,0.60717076,0.9975764751434326,0.9814426,0.8201625,3.986724,0,1.1407461,1.4308339357376099,1.815627098083496,1.143885612487793,0.017770104110240936,0.81790376,3.986724,0,1.1435152
A549,4,OSI,9,4,11.75,12,0.07055521011352539,0.007371258921921253,0.15881389379501343,0.00257538422010839,0.06409473717212677,0.6591005921363831,0.0013872918207198381,0.15643395483493805,0,0.09365421533584595,0.11092793941497803,0.43532001972198486,0.6513412,0.64989465,300,44500,44800,0.96073,-0.591785014,0.5510409,0.9766323566436768,0.9795736,0.6262487,3.158268,0,0.5436673,0.6591005921363831,1.2653981447219849,0,0.09019507467746735,0.6260272,3.158268,0,0.5467171
A549,4,VIN,0,5,39.29,1,0.24183468520641327,0.010305420495569706,0.26936063170433044,0.00406400253996253,0.22877910733222961,3.7076470851898193,0.002207634039223194,0.3916749358177185,0.10012146830558777,0.2664376199245453,0.2895604372024536,2.1954691410064697,2.3811803,2.3786592,863,62705,63568,0.7067335,0.4955040216445923,0.61455387,0.9892841577529907,0.9807461,4.1895556,9.518526,0,2.8073628,3.7076470851898193,4.987171649932861,2.1648917198181152,0.351105272769928,4.1961884,9.518526,0,2.8379276
